127.0.0.1 - - [17/Jun/2016:19:26:58 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:28:32 +0800] "GET /homeworkSystem/jsp/teacher/teacherCourse.action?courseId=27&name=Linux%E7%A8%8B%E5%BA%8F%E8%AE%BE%E8%AE%A1&semester=2016-2017%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:01 +0800] "GET /homeworkSystem/jsp/teacher/teacherCourse.action?courseId=28&name=%E4%B8%80%E9%97%A8%E8%AF%BE&semester=2016-2017%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 4888
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:04 +0800] "GET /homeworkSystem/jsp/teacher/teacherCourse.action?courseId=27&name=Linux%E7%A8%8B%E5%BA%8F%E8%AE%BE%E8%AE%A1&semester=2016-2017%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:25 +0800] "GET /homeworkSystem/jsp/teacher/logout.action HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:37 +0800] "POST /homeworkSystem/jsp/teacher/login.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:37 +0800] "GET /homeworkSystem/jsp/student/showStudentCourseList.action HTTP/1.1" 200 8321
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:42 +0800] "GET /homeworkSystem/jsp/student/showStudentsHomework.action?courseId=4&name=%E6%95%B0%E6%8D%AE%E5%BA%93%E8%AE%BE%E8%AE%A1 HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:43 +0800] "GET /homeworkSystem/jsp/student/showStudentCourseList.action HTTP/1.1" 200 8321
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:47 +0800] "GET /homeworkSystem/jsp/student/showStudentHomeworkList.action?courseId=20&name=%E9%9C%80%E6%B1%82%E5%B7%A5%E7%A8%8B&semester=2015-2016%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%BA%8C%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 9589
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:50 +0800] "GET /homeworkSystem/jsp/student/showStudentHomeworkList.action?courseId=20&name=%E9%9C%80%E6%B1%82%E5%B7%A5%E7%A8%8B&semester=2015-2016%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%BA%8C%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 9589
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:54 +0800] "GET /homeworkSystem/jsp/student/showStudentHomeworkList.action?courseId=1&name=%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%A6&semester=2014-2015%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 10322
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:29:57 +0800] "GET /homeworkSystem/jsp/student/showStudentHomeworkList.action?courseId=2&name=%E7%94%B5%E5%AD%90%E5%95%86%E5%8A%A1&semester=2014-2015%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 6900
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:30:02 +0800] "GET /homeworkSystem/jsp/student/showStudentHomeworkList.action?courseId=1&name=%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%A6&semester=2014-2015%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 10322
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:14:04 +0800] "GET /homeworkSystem/jsp/student/showStudentHomeworkList.action?courseId=2&name=%E7%94%B5%E5%AD%90%E5%95%86%E5%8A%A1&semester=2014-2015%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:14:07 +0800] "GET /homeworkSystem/jsp/student/logout.action HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:14:10 +0800] "POST /homeworkSystem/jsp/student/login.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:14:11 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherCourseList.action HTTP/1.1" 200 11256
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:14:13 +0800] "GET /homeworkSystem/jsp/teacher/teacherCourse.action?courseId=27&name=Linux%E7%A8%8B%E5%BA%8F%E8%AE%BE%E8%AE%A1&semester=2016-2017%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:14:15 +0800] "GET /homeworkSystem/jsp/teacher/teacherCourse.action?courseId=28&name=%E4%B8%80%E9%97%A8%E8%AF%BE&semester=2016-2017%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 4888
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:36 +0800] "GET /homeworkSystem/jsp/teacher/showUnreadMessage.action HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:38 +0800] "GET /homeworkSystem/jsp/teacher/showAllMessage.action HTTP/1.1" 200 6794
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:41 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherHomeworkList.action?courseId=20&name=%E9%9C%80%E6%B1%82%E5%B7%A5%E7%A8%8B HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:44 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherHomeworkList.action?courseId=20&name=%E9%9C%80%E6%B1%82%E5%B7%A5%E7%A8%8B HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:46 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherHomeworkList.action?courseId=20&name=%E9%9C%80%E6%B1%82%E5%B7%A5%E7%A8%8B HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:51 +0800] "GET /homeworkSystem/jsp/teacher/logout.action HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:54 +0800] "POST /homeworkSystem/jsp/teacher/login.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:54 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherCourseList.action HTTP/1.1" 200 11256
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:56 +0800] "GET /homeworkSystem/jsp/teacher/showUnreadMessage.action HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:57 +0800] "GET /homeworkSystem/jsp/teacher/showAllMessage.action HTTP/1.1" 200 6794
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:22:58 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherHomeworkList.action?courseId=20&name=%E9%9C%80%E6%B1%82%E5%B7%A5%E7%A8%8B HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:23:26 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherCourseList.action HTTP/1.1" 200 11256
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:23:28 +0800] "GET /homeworkSystem/jsp/teacher/teacherCourse.action?courseId=20&name=%E9%9C%80%E6%B1%82%E5%B7%A5%E7%A8%8B&semester=2015-2016%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%BA%8C%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 4750
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:23:50 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherHomeworkList.action?courseId=20&name=%E9%9C%80%E6%B1%82%E5%B7%A5%E7%A8%8B&semester=2015-2016%E5%AD%A6%E5%B9%B4%E7%AC%AC%E4%BA%8C%E5%AD%A6%E6%9C%9F HTTP/1.1" 200 11206
0:0:0:0:0:0:0:1 - - [17/Jun/2016:20:23:55 +0800] "GET /homeworkSystem/jsp/teacher/toApprovalHomework.action?homeworkId=63&courseId=20 HTTP/1.1" 200 7306
